,PM_US Post
6622,7.0
6623,9.0
6624,23.0
6625,21.0
6626,25.0
6627,22.0
6628,14.0
6629,22.0
6630,27.0
6631,22.0
6632,14.0
6633,19.0
6634,15.0
6635,17.0
6636,21.0
6637,24.0
6638,24.0
6639,26.0
6640,24.0
6641,25.0
6642,27.0
6643,38.0
6644,47.0
6645,41.0
6646,42.0
6647,85.0
6648,88.0
6649,90.0
6650,73.0
6651,57.0
6652,50.0
6653,43.0
6654,52.0
6655,52.0
6656,31.0
6657,38.0
6658,44.0
6659,39.0
6660,43.0
6661,55.0
6662,56.0
6663,60.0
6664,72.0
6665,80.0
6666,99.0
6667,133.0
6668,166.0
6669,152.0
6670,192.0
6671,206.0
6672,260.0
6673,217.0
6674,170.0
6675,151.0
6676,136.0
6677,115.0
6678,144.0
6679,154.0
6680,198.0
6681,252.0
6682,263.0
6683,243.0
6684,217.0
6685,256.0
6686,284.0
6687,252.0
6688,264.0
6689,320.0
6690,372.0
6691,435.0
6692,503.0
6693,534.0
6694,506.0
6695,505.0
6696,465.0
6697,468.0
6698,449.0
6699,418.0
6700,405.0
6701,374.0
6702,388.0
6703,384.0
6704,384.0
6705,381.0
6706,359.0
6707,369.0
6708,355.0
6709,348.0
6710,344.0
6711,330.0
6712,279.0
6713,252.0
6714,287.0
6715,327.0
6716,365.0
6717,391.0
6718,423.0
6719,429.0
6720,439.0
6721,458.0
6722,436.0
6723,431.0
6724,408.0
6725,387.0
6726,349.0
6727,332.0
6728,348.0
6729,350.0
6730,344.0
6731,369.0
6732,406.0
6733,422.0
6734,310.0
6735,175.0
6736,253.0
6737,263.0
6738,223.0
6739,400.0
6740,470.0
6741,459.0
6742,378.0
6743,290.0
6744,290.0
6745,287.0
6746,283.0
6747,283.0
6748,337.0
6749,329.0
6750,311.0
6751,318.0
6752,335.0
6753,324.0
6754,307.0
6755,323.0
6756,350.0
6757,374.0
6758,396.0
6759,435.0
6760,412.0
6761,449.0
6762,429.0
6763,411.0
6764,430.0
6765,431.0
6766,440.0
6767,434.0
6768,438.0
6769,416.0
6770,417.0
6771,394.0
6772,380.0
6773,376.0
6774,385.0
6775,383.0
6776,397.0
6777,392.0
6778,408.0
6779,428.0
6780,420.0
6781,399.0
6782,391.0
6783,393.0
6784,415.0
6785,395.0
6786,420.0
6787,414.0
6788,394.0
6789,348.0
6790,74.0
6791,32.0
6792,17.0
6793,6.0
6794,5.0
6795,4.0
6796,6.0
6797,8.0
6798,16.0
6799,2.0
6800,4.0
6801,7.0
6802,5.0
6803,4.0
6804,7.0
6805,7.0
6806,7.0
6807,10.0
6808,10.0
6809,13.0
6810,17.0
6811,9.0
6812,11.0
6813,21.0
6814,21.0
6815,37.0
6816,30.0
6817,45.0
6818,56.0
6819,42.0
6820,51.0
6821,33.0
6822,48.0
6823,42.0
6824,32.0
6825,29.0
6826,31.0
6827,22.0
6828,24.0
6829,24.0
6830,24.0
6831,40.0
6832,32.0
6833,45.0
6834,55.0
6835,75.0
6836,107.0
6837,125.0
6838,154.0
6839,168.0
6840,187.0
6841,163.0
6842,143.0
6843,118.0
6844,111.0
6845,99.0
6846,86.0
6847,66.0
6848,56.0
6849,55.0
6850,63.0
6851,67.0
6852,70.0
6853,91.0
6854,107.0
6855,137.0
6856,102.0
6857,114.0
6858,148.0
6859,164.0
6860,193.0
6861,164.0
6862,118.0
6863,41.0
6864,17.0
6865,13.0
6866,13.0
6867,10.0
6868,5.0
6869,2.0
6870,7.0
6871,22.0
6872,12.0
6873,22.0
6874,11.0
6875,16.0
6876,18.0
6877,7.0
6878,17.0
6879,11.0
6880,18.0
6881,21.0
6882,16.0
6883,22.0
6884,13.0
6885,21.0
6886,30.0
6887,19.0
6888,19.0
6889,15.0
6890,18.0
6891,56.0
6892,38.0
6893,18.0
6894,48.0
6895,37.0
6896,19.0
6897,9.0
6898,8.0
6899,23.0
6900,24.0
6901,26.0
6902,31.0
6903,46.0
6904,67.0
6905,73.0
6906,67.0
6907,71.0
6908,64.0
6909,77.0
6910,71.0
6911,111.0
6912,125.0
6913,133.0
6914,134.0
6915,143.0
6916,123.0
6917,97.0
6918,73.0
6919,37.0
6920,34.0
6921,63.0
6922,106.0
6923,123.0
6924,79.0
6925,50.0
6926,46.0
6927,45.0
6928,47.0
6929,49.0
6930,53.0
6931,49.0
6932,46.0
6933,32.0
6934,32.0
6935,23.0
6936,31.0
6937,27.0
6938,24.0
6939,20.0
6940,23.0
6941,34.0
6942,34.0
6943,44.0
6944,41.0
6945,39.0
6946,38.0
6947,40.0
6948,46.0
6949,47.0
6950,44.0
6951,51.0
6952,64.0
6953,59.0
6954,64.0
6955,62.0
6956,73.0
6957,80.0
6958,89.0
6959,81.0
6960,73.0
6961,92.0
6962,86.0
6963,90.0
6964,80.0
6965,71.0
6966,83.0
6967,77.0
6968,69.0
6969,64.0
6970,66.0
6971,71.0
6972,75.0
6973,79.0
6974,75.0
6975,68.0
6976,64.0
6977,50.0
6978,47.0
6979,47.0
6980,41.0
6981,38.0
6982,39.0
6983,42.0
6984,43.0
6985,40.0
6986,45.0
6987,52.0
6988,57.0
6989,61.0
6990,57.0
6991,63.0
6992,73.0
6993,60.0
6994,81.0
6995,79.0
6996,89.0
6997,93.0
6998,87.0
6999,93.0
7000,84.0
7001,79.0
7002,89.0
7003,88.0
7004,82.0
7005,92.0
7006,91.0
7007,83.0
7008,80.0
7009,82.0
7010,88.0
7011,92.0
7012,81.0
7013,79.0
7014,86.0
7015,84.0
7016,75.0
7017,82.0
7018,89.0
7019,74.0
7020,87.0
7021,79.0
7022,81.0
7023,78.0
7024,73.0
7025,80.0
7026,74.0
7027,85.0
7028,91.0
7029,86.0
7030,84.0
7031,88.0
7032,92.0
7033,93.0
7034,98.0
7035,101.0
7036,102.0
7037,95.0
7038,100.0
7039,103.0
7040,115.0
7041,130.0
7042,140.0
7043,154.0
7044,172.0
7045,151.0
7046,127.0
7047,109.0
7048,105.0
7049,96.0
7050,115.0
7051,161.0
7052,180.0
7053,179.0
7054,179.0
7055,184.0
7056,176.0
7057,164.0
7058,152.0
7059,143.0
7060,142.0
7061,137.0
7062,145.0
7063,146.0
7064,147.0
7065,154.0
7066,161.0
7067,165.0
7068,161.0
7069,162.0
7070,182.0
7071,201.0
7072,197.0
7073,201.0
7074,195.0
7075,204.0
7076,187.0
7077,174.0
7078,174.0
7079,178.0
7080,164.0
7081,158.0
7082,158.0
7083,158.0
7084,160.0
7085,164.0
7086,167.0
7087,173.0
7088,179.0
7089,188.0
7090,194.0
7091,225.0
7092,252.0
7093,257.0
7094,260.0
7095,271.0
7096,265.0
7097,271.0
7098,273.0
7099,261.0
7100,275.0
7101,278.0
7102,270.0
7103,262.0
7104,256.0
7105,251.0
7106,259.0
7107,260.0
7108,252.0
7109,234.0
7110,212.0
7111,218.0
7112,63.0
7113,13.0
7114,11.0
7115,12.0
7116,12.0
7117,8.0
7118,9.0
7119,10.0
7120,11.0
7121,13.0
7122,17.0
7123,11.0
7124,12.0
7125,14.0
7126,15.0
7127,12.0
7128,10.0
7129,10.0
7130,8.0
7131,6.0
7132,7.0
7133,16.0
7134,10.0
7135,17.0
7136,15.0
7137,15.0
7138,14.0
7139,11.0
7140,12.0
7141,12.0
7142,7.0
7143,6.0
7144,8.0
7145,12.0
7146,14.0
7147,14.0
7148,11.0
7149,9.0
7150,11.0
7151,8.0
7152,9.0
7153,7.0
7154,4.0
7155,6.0
7156,4.0
7157,4.0
7158,5.0
7159,6.0
7160,7.0
7161,8.0
7162,9.0
7163,10.0
7164,8.0
7165,9.0
7166,12.0
7167,11.0
7168,8.0
7169,19.0
7170,28.0
7171,35.0
7172,32.0
7173,29.0
7174,35.0
7175,41.0
7176,42.0
7177,46.0
7178,68.0
7179,80.0
7180,76.0
7181,74.0
7182,88.0
7183,92.0
7184,82.0
7185,69.0
7186,73.0
7187,71.0
7188,89.0
7189,83.0
7190,77.0
7191,97.0
7192,90.0
7193,88.0
7194,101.0
7195,112.0
7196,124.0
7197,158.0
7198,164.0
7199,176.0
7200,189.0
7201,174.0
7202,107.0
7203,111.0
7204,91.0
7205,89.0
7206,82.0
7207,76.0
7208,83.0
7209,83.0
7210,67.0
7211,45.0
7212,42.0
7213,37.0
7214,44.0
7215,38.0
7216,59.0
7217,34.0
7218,48.0
7219,48.0
7220,41.0
7221,41.0
7222,50.0
7223,47.0
7224,67.0
7225,76.0
7226,79.0
7227,72.0
7228,88.0
7229,72.0
7230,76.0
7231,93.0
7232,66.0
7233,49.0
7234,60.0
7235,40.0
7236,34.0
7237,21.0
7238,19.0
7239,20.0
7240,24.0
7241,31.0
7242,31.0
7243,42.0
7244,49.0
7245,44.0
7246,51.0
7247,52.0
7248,69.0
7249,75.0
7250,69.0
7251,57.0
7252,47.0
7253,51.0
7254,48.0
7255,45.0
7256,38.0
7257,34.0
7258,39.0
7259,38.0
7260,23.0
7261,12.0
7262,9.0
7263,15.0
7264,24.0
7265,45.0
7266,102.0
7267,101.0
7268,92.0
7269,68.0
7270,64.0
7271,101.0
7272,102.0
7273,129.0
7274,123.0
7275,117.0
7276,76.0
7277,51.0
7278,57.0
7279,47.0
7280,47.0
7281,53.0
7282,64.0
7283,57.0
7284,60.0
7285,42.0
7286,30.0
7287,22.0
7288,24.0
7289,76.0
7290,111.0
7291,98.0
7292,89.0
7293,77.0
7294,92.0
7295,84.0
7296,83.0
7297,71.0
7298,64.0
7299,86.0
7300,61.0
7301,58.0
7302,60.0
7303,41.0
7304,41.0
7305,41.0
7306,41.0
7307,41.0
7308,41.0
7309,41.0
7310,41.0
7311,41.0
7312,41.0
7313,41.0
7314,41.0
7315,41.0
7316,41.0
7317,41.0
7318,41.0
7319,41.0
7320,41.0
7321,41.0
7322,41.0
7323,41.0
7324,41.0
7325,41.0
7326,41.0
7327,41.0
7328,41.0
7329,41.0
7330,41.0
7331,41.0
7332,41.0
7333,41.0
7334,41.0
7335,41.0
7336,41.0
7337,41.0
7338,41.0
7339,41.0
7340,41.0
7341,41.0
7342,41.0
7343,41.0
7344,41.0
7345,41.0
7346,41.0
7347,41.0
7348,41.0
7349,41.0
7350,41.0
7351,41.0
7352,41.0
7353,41.0
7354,41.0
7355,41.0
7356,41.0
7357,41.0
7358,50.0
7359,42.0
7360,61.0
7361,75.0
7362,109.0
7363,143.0
7364,167.0
7365,183.0
7366,154.0
7367,127.0
7368,94.0
7369,86.0
7370,51.0
7371,95.0
7372,85.0
7373,53.0
7374,56.0
7375,55.0
7376,50.0
7377,41.0
7378,39.0
7379,30.0
7380,34.0
7381,43.0
7382,52.0
7383,44.0
7384,39.0
7385,43.0
7386,53.0
7387,63.0
7388,91.0
7389,119.0
7390,136.0
7391,144.0
7392,148.0
7393,130.0
7394,98.0
7395,70.0
7396,95.0
7397,79.0
7398,67.0
7399,52.0
7400,54.0
7401,53.0
7402,49.0
7403,51.0
7404,52.0
7405,58.0
7406,83.0
7407,98.0
7408,86.0
7409,95.0
7410,129.0
7411,154.0
7412,172.0
7413,187.0
7414,232.0
7415,238.0
7416,227.0
7417,221.0
7418,195.0
7419,122.0
7420,143.0
7421,147.0
7422,124.0
7423,127.0
7424,122.0
7425,164.0
7426,249.0
7427,272.0
7428,298.0
7429,314.0
7430,307.0
7431,352.0
7432,374.0
7433,366.0
7434,381.0
7435,400.0
7436,419.0
7437,463.0
7438,481.0
7439,466.0
7440,479.0
7441,343.0
7442,95.0
7443,34.0
7444,18.0
7445,20.0
7446,14.0
7447,12.0
7448,11.0
7449,13.0
7450,16.0
7451,17.0
7452,11.0
7453,15.0
7454,14.0
7455,13.0
7456,16.0
7457,10.0
7458,10.0
7459,9.0
7460,10.0
7461,10.0
7462,9.0
7463,18.0
7464,15.0
7465,14.0
7466,13.0
7467,12.0
7468,7.0
7469,7.0
7470,9.0
7471,7.0
7472,7.0
7473,8.0
7474,10.0
7475,10.0
7476,6.0
7477,6.0
7478,8.0
7479,7.0
7480,10.0
7481,17.0
7482,19.0
7483,21.0
7484,42.0
7485,23.0
7486,13.0
7487,21.0
7488,25.0
7489,16.0
7490,15.0
7491,12.0
7492,19.0
7493,21.0
7494,39.0
7495,45.0
7496,25.0
7497,31.0
7498,47.0
7499,75.0
7500,75.0
7501,71.0
7502,62.0
7503,57.0
7504,66.0
7505,78.0
7506,99.0
7507,111.0
7508,128.0
7509,146.0
7510,140.0
7511,144.0
7512,142.0
7513,143.0
7514,129.0
7515,114.0
7516,94.0
7517,70.0
7518,99.0
7519,89.0
7520,80.0
7521,59.0
7522,77.0
7523,97.0
7524,116.0
7525,126.0
7526,121.0
7527,122.0
7528,118.0
7529,142.0
7530,184.0
7531,230.0
7532,207.0
7533,201.0
7534,227.0
7535,213.0
7536,193.0
7537,155.0
7538,154.0
7539,149.0
7540,138.0
7541,177.0
7542,302.0
7543,153.0
7544,27.0
7545,17.0
7546,16.0
7547,10.0
7548,12.0
7549,16.0
7550,11.0
7551,12.0
7552,12.0
7553,9.0
7554,10.0
7555,11.0
7556,8.0
7557,6.0
7558,7.0
7559,8.0
7560,11.0
7561,10.0
7562,9.0
7563,12.0
7564,30.0
7565,37.0
7566,45.0
7567,43.0
7568,35.0
7569,48.0
7570,81.0
7571,92.0
7572,68.0
7573,77.0
7574,88.0
7575,99.0
7576,120.0
7577,114.0
7578,115.0
7579,125.0
7580,121.0
7581,112.0
7582,85.0
7583,42.0
7584,16.0
7585,12.0
7586,10.0
7587,10.0
7588,7.0
7589,3.0
7590,5.0
7591,10.0
7592,12.0
7593,15.0
7594,8.0
7595,11.0
7596,15.0
7597,17.0
7598,14.0
7599,11.0
7600,10.0
7601,10.0
7602,26.0
7603,31.0
7604,43.0
7605,42.0
7606,29.0
7607,17.0
7608,26.0
7609,23.0
7610,25.0
7611,21.0
7612,41.0
7613,27.0
7614,27.0
7615,22.0
7616,34.0
7617,35.0
7618,44.0
7619,25.0
7620,24.0
7621,22.0
7622,19.0
7623,19.0
7624,11.0
7625,10.0
7626,11.0
7627,12.0
7628,10.0
7629,11.0
7630,12.0
7631,10.0
7632,16.0
7633,19.0
7634,17.0
7635,10.0
7636,9.0
7637,9.0
7638,20.0
7639,26.0
7640,21.0
7641,32.0
7642,47.0
7643,45.0
7644,50.0
7645,60.0
7646,70.0
7647,60.0
7648,68.0
7649,77.0
7650,82.0
7651,107.0
7652,124.0
7653,139.0
7654,152.0
7655,166.0
7656,213.0
7657,206.0
7658,208.0
7659,191.0
7660,152.0
7661,124.0
7662,108.0
7663,94.0
7664,92.0
7665,94.0
7666,105.0
7667,90.0
7668,78.0
7669,63.0
7670,66.0
7671,77.0
7672,116.0
7673,142.0
7674,135.0
7675,175.0
7676,196.0
7677,217.0
7678,227.0
7679,264.0
7680,276.0
7681,275.0
7682,255.0
7683,220.0
7684,220.0
7685,177.0
7686,138.0
7687,133.0
7688,129.0
7689,154.0
7690,197.0
7691,247.0
7692,288.0
7693,331.0
7694,400.0
7695,472.0
7696,467.0
7697,503.0
7698,503.0
7699,525.0
7700,504.0
7701,502.0
7702,504.0
7703,521.0
7704,446.0
7705,391.0
7706,354.0
7707,350.0
7708,354.0
7709,353.0
7710,362.0
7711,339.0
7712,325.0
7713,336.0
7714,346.0
7715,299.0
7716,307.0
7717,304.0
7718,307.0
7719,324.0
7720,361.0
7721,438.0
7722,476.0
7723,503.0
7724,470.0
7725,480.0
7726,482.0
7727,535.0
7728,569.0
7729,562.0
7730,485.0
7731,488.0
7732,470.0
7733,453.0
7734,466.0
7735,466.0
7736,501.0
7737,559.0
7738,557.0
7739,540.0
7740,364.0
7741,230.0
7742,185.0
7743,135.0
7744,95.0
7745,106.0
7746,123.0
7747,159.0
7748,192.0
7749,277.0
7750,371.0
7751,454.0
7752,422.0
7753,389.0
7754,328.0
7755,296.0
7756,282.0
7757,286.0
7758,271.0
7759,262.0
7760,224.0
7761,200.0
7762,202.0
7763,219.0
7764,214.0
7765,200.0
7766,207.0
7767,217.0
7768,241.0
7769,280.0
7770,306.0
7771,353.0
7772,395.0
7773,432.0
7774,438.0
7775,433.0
7776,462.0
7777,439.0
7778,398.0
7779,355.0
7780,316.0
7781,287.0
7782,210.0
7783,139.0
7784,31.0
7785,28.0
7786,19.0
7787,16.0
7788,14.0
7789,10.0
7790,8.0
7791,10.0
7792,11.0
7793,11.0
7794,12.0
7795,18.0
7796,19.0
7797,11.0
7798,24.0
7799,19.0
7800,25.0
7801,23.0
7802,49.0
7803,55.0
7804,68.0
7805,66.0
7806,73.0
7807,69.0
7808,80.0
7809,46.0
7810,46.0
7811,46.0
7812,33.0
7813,24.0
7814,28.0
7815,43.0
7816,73.0
7817,69.0
7818,74.0
7819,91.0
7820,123.0
7821,181.0
7822,223.0
7823,228.0
7824,249.0
7825,236.0
7826,218.0
7827,222.0
7828,238.0
7829,225.0
7830,244.0
7831,232.0
7832,203.0
7833,213.0
7834,241.0
7835,238.0
7836,213.0
7837,214.0
7838,201.0
7839,208.0
7840,217.0
7841,258.0
7842,251.0
7843,235.0
7844,240.0
7845,253.0
7846,264.0
7847,256.0
7848,238.0
7849,223.0
7850,225.0
7851,194.0
7852,181.0
7853,88.0
7854,27.0
7855,19.0
7856,17.0
7857,17.0
7858,17.0
7859,18.0
7860,17.0
7861,16.0
7862,12.0
7863,13.0
7864,16.0
7865,12.0
7866,30.0
7867,19.0
7868,22.0
7869,22.0
7870,23.0
7871,16.0
7872,26.0
7873,24.0
7874,20.0
7875,28.0
7876,23.0
7877,22.0
7878,45.0
7879,62.0
7880,63.0
7881,80.0
7882,55.0
7883,49.0
7884,54.0
7885,57.0
7886,54.0
7887,52.0
7888,63.0
7889,105.0
7890,106.0
7891,104.0
7892,146.0
7893,177.0
7894,168.0
7895,142.0
7896,120.0
7897,94.0
7898,89.0
7899,85.0
7900,62.0
7901,70.0
7902,80.0
7903,94.0
7904,93.0
7905,96.0
7906,96.0
7907,124.0
7908,137.0
7909,127.0
7910,130.0
7911,135.0
7912,127.0
7913,148.0
7914,159.0
7915,206.0
7916,174.0
7917,156.0
7918,56.0
7919,43.0
7920,61.0
7921,69.0
7922,49.0
7923,30.0
7924,21.0
7925,12.0
7926,20.0
7927,19.0
7928,12.0
7929,13.0
7930,11.0
7931,8.0
7932,7.0
7933,8.0
7934,9.0
7935,12.0
7936,18.0
7937,32.0
7938,43.0
7939,41.0
7940,35.0
7941,45.0
7942,46.0
7943,47.0
7944,59.0
7945,83.0
7946,74.0
7947,74.0
7948,74.0
7949,64.0
7950,79.0
7951,97.0
7952,142.0
7953,150.0
7954,173.0
7955,136.0
7956,141.0
7957,148.0
7958,184.0
7959,202.0
7960,229.0
7961,268.0
7962,281.0
7963,316.0
7964,354.0
7965,360.0
7966,379.0
7967,443.0
7968,418.0
7969,376.0
7970,309.0
7971,248.0
7972,166.0
7973,154.0
7974,159.0
7975,144.0
7976,124.0
7977,121.0
7978,121.0
7979,136.0
7980,130.0
7981,103.0
7982,98.0
7983,111.0
7984,130.0
7985,168.0
7986,179.0
7987,173.0
7988,174.0
7989,172.0
7990,213.0
7991,236.0
7992,267.0
7993,237.0
7994,236.0
7995,198.0
7996,176.0
7997,159.0
7998,170.0
7999,164.0
8000,170.0
8001,182.0
8002,240.0
8003,256.0
8004,261.0
8005,247.0
8006,242.0
8007,237.0
8008,236.0
8009,247.0
8010,234.0
8011,245.0
8012,243.0
8013,249.0
8014,249.0
8015,259.0
8016,256.0
8017,252.0
8018,248.0
8019,239.0
8020,238.0
8021,239.0
8022,245.0
8023,235.0
8024,233.0
8025,248.0
8026,258.0
8027,264.0
8028,261.0
8029,276.0
8030,268.0
8031,259.0
8032,257.0
8033,266.0
8034,271.0
8035,264.0
8036,288.0
8037,284.0
8038,275.0
8039,270.0
8040,259.0
8041,240.0
8042,218.0
8043,235.0
8044,142.0
8045,128.0
8046,85.0
8047,71.0
8048,61.0
8049,39.0
8050,33.0
8051,26.0
8052,22.0
8053,14.0
8054,19.0
8055,12.0
8056,14.0
8057,13.0
8058,17.0
8059,21.0
8060,17.0
8061,25.0
8062,23.0
8063,15.0
8064,23.0
8065,22.0
8066,16.0
8067,11.0
8068,13.0
8069,28.0
8070,36.0
8071,41.0
8072,107.0
8073,72.0
8074,72.0
8075,72.0
8076,73.0
8077,65.0
8078,58.0
8079,71.0
8080,69.0
8081,88.0
8082,146.0
8083,162.0
8084,174.0
8085,193.0
8086,167.0
8087,193.0
8088,167.0
8089,145.0
8090,128.0
8091,129.0
8092,122.0
8093,158.0
8094,154.0
8095,133.0
8096,100.0
8097,113.0
8098,139.0
8099,120.0
8100,116.0
8101,118.0
8102,121.0
8103,127.0
8104,173.0
8105,216.0
8106,233.0
8107,248.0
8108,281.0
8109,273.0
8110,309.0
8111,322.0
8112,271.0
8113,204.0
8114,169.0
8115,130.0
8116,161.0
8117,153.0
8118,125.0
8119,113.0
8120,35.0
8121,22.0
8122,16.0
8123,18.0
8124,27.0
8125,16.0
8126,22.0
8127,11.0
8128,9.0
8129,10.0
8130,10.0
8131,11.0
8132,11.0
8133,8.0
8134,9.0
8135,11.0
8136,9.0
8137,9.0
8138,10.0
8139,10.0
8140,9.0
8141,9.0
8142,17.0
8143,15.0
8144,15.0
8145,19.0
8146,15.0
8147,15.0
8148,13.0
8149,16.0
8150,14.0
8151,13.0
8152,12.0
8153,16.0
8154,20.0
8155,32.0
8156,40.0
8157,46.0
8158,44.0
8159,61.0
8160,53.0
8161,45.0
8162,43.0
8163,43.0
8164,46.0
8165,76.0
8166,94.0
8167,127.0
8168,68.0
8169,74.0
8170,27.0
8171,23.0
8172,83.0
8173,41.0
8174,50.0
8175,46.0
8176,53.0
8177,41.0
8178,50.0
8179,49.0
8180,56.0
8181,52.0
8182,67.0
8183,93.0
8184,100.0
8185,73.0
8186,46.0
8187,40.0
8188,62.0
8189,29.0
8190,28.0
8191,19.0
8192,26.0
8193,38.0
8194,36.0
8195,27.0
8196,21.0
8197,16.0
8198,13.0
8199,9.0
8200,18.0
8201,13.0
8202,20.0
8203,29.0
8204,61.0
8205,52.0
8206,77.0
8207,116.0
8208,126.0
8209,132.0
8210,151.0
8211,158.0
8212,152.0
8213,154.0
8214,155.0
8215,185.0
8216,146.0
8217,159.0
8218,212.0
8219,209.0
8220,215.0
8221,211.0
8222,218.0
8223,220.0
8224,238.0
8225,243.0
8226,257.0
8227,257.0
8228,254.0
8229,246.0
8230,241.0
8231,230.0
8232,218.0
8233,215.0
8234,212.0
8235,231.0
8236,237.0
8237,230.0
8238,231.0
8239,221.0
8240,180.0
8241,38.0
8242,29.0
8243,35.0
8244,28.0
8245,25.0
8246,25.0
8247,19.0
8248,18.0
8249,13.0
8250,10.0
8251,11.0
8252,14.0
8253,16.0
8254,19.0
8255,17.0
8256,36.0
8257,18.0
8258,14.0
8259,16.0
8260,22.0
8261,23.0
8262,19.0
8263,23.0
8264,35.0
8265,47.0
8266,40.0
8267,41.0
8268,36.0
8269,49.0
8270,47.0
8271,46.0
8272,34.0
8273,43.0
8274,53.0
8275,82.0
8276,116.0
8277,122.0
8278,119.0
8279,109.0
8280,131.0
8281,112.0
8282,115.0
8283,102.0
8284,105.0
8285,100.0
8286,101.0
8287,107.0
8288,94.0
8289,87.0
8290,100.0
8291,95.0
8292,101.0
8293,104.0
8294,118.0
8295,117.0
8296,113.0
8297,109.0
8298,122.0
8299,139.0
8300,140.0
8301,179.0
8302,171.0
8303,140.0
8304,15.0
8305,11.0
8306,8.0
8307,6.0
8308,7.0
8309,10.0
8310,16.0
8311,13.0
8312,19.0
8313,19.0
8314,18.0
8315,17.0
8316,20.0
8317,15.0
8318,18.0
8319,18.0
8320,9.0
8321,17.0
8322,19.0
8323,22.0
8324,27.0
8325,21.0
8326,15.0
8327,16.0
8328,24.0
8329,17.0
8330,13.0
8331,20.0
8332,17.0
8333,19.0
8334,15.0
8335,23.0
8336,22.0
8337,20.0
8338,23.0
8339,22.0
8340,16.0
8341,16.0
8342,15.0
8343,16.0
8344,16.0
8345,17.0
8346,15.0
8347,16.0
8348,15.0
8349,8.0
8350,15.0
8351,11.0
8352,12.0
8353,14.0
8354,13.0
8355,13.0
8356,15.0
8357,13.0
8358,13.0
8359,18.0
8360,17.0
8361,23.0
8362,22.0
8363,22.0
8364,25.0
8365,17.0
8366,21.0
8367,24.0
8368,13.0
8369,15.0
8370,43.0
8371,43.0
8372,50.0
8373,54.0
8374,27.0
8375,20.0
8376,28.0
8377,30.0
8378,22.0
8379,27.0
8380,27.0
8381,40.0
8382,41.0
8383,39.0
8384,40.0
8385,54.0
8386,56.0
8387,63.0
8388,58.0
8389,50.0
8390,89.0
8391,81.0
8392,74.0
8393,55.0
8394,60.0
8395,72.0
8396,82.0
8397,98.0
8398,95.0
8399,55.0
8400,41.0
8401,39.0
8402,36.0
8403,34.0
8404,34.0
8405,42.0
8406,40.0
8407,71.0
8408,69.0
8409,64.0
8410,65.0
8411,71.0
8412,73.0
8413,79.0
8414,93.0
8415,87.0
8416,136.0
8417,135.0
8418,145.0
8419,205.0
8420,282.0
8421,325.0
8422,379.0
8423,374.0
8424,363.0
8425,319.0
8426,265.0
8427,247.0
8428,231.0
8429,215.0
8430,210.0
8431,242.0
8432,249.0
8433,211.0
8434,201.0
8435,206.0
8436,224.0
8437,230.0
8438,246.0
8439,255.0
8440,269.0
8441,302.0
8442,315.0
8443,296.0
8444,290.0
8445,308.0
8446,454.0
8447,528.0
8448,485.0
8449,489.0
8450,404.0
8451,299.0
8452,298.0
8453,133.0
8454,105.0
8455,72.0
8456,64.0
8457,52.0
8458,49.0
8459,40.0
8460,43.0
8461,35.0
8462,22.0
8463,16.0
8464,10.0
8465,34.0
8466,64.0
8467,59.0
8468,104.0
8469,126.0
8470,144.0
8471,161.0
8472,187.0
8473,200.0
8474,206.0
8475,233.0
8476,221.0
8477,220.0
8478,230.0
8479,254.0
8480,311.0
8481,352.0
8482,227.0
8483,175.0
8484,91.0
8485,129.0
8486,196.0
8487,117.0
8488,104.0
8489,115.0
8490,138.0
8491,147.0
8492,237.0
8493,245.0
8494,311.0
8495,410.0
8496,405.0
8497,391.0
8498,397.0
8499,396.0
8500,367.0
8501,346.0
8502,340.0
8503,266.0
8504,206.0
8505,224.0
8506,430.0
8507,441.0
8508,425.0
8509,439.0
8510,427.0
8511,474.0
8512,500.0
8513,548.0
8514,584.0
8515,607.0
8516,611.0
8517,615.0
8518,587.0
8519,570.0
8520,573.0
8521,513.0
8522,397.0
8523,365.0
8524,295.0
8525,263.0
8526,87.0
8527,67.0
8528,48.0
8529,38.0
8530,35.0
8531,23.0
8532,24.0
8533,15.0
8534,17.0
8535,14.0
8536,13.0
8537,17.0
8538,27.0
8539,29.0
8540,24.0
8541,18.0
8542,11.0
8543,10.0
8544,10.0
8545,10.0
8546,12.0
8547,13.0
8548,10.0
8549,11.0
8550,17.0
8551,21.0
8552,17.0
8553,18.0
8554,21.0
8555,24.0
8556,25.0
8557,24.0
8558,33.0
8559,24.0
8560,21.0
8561,21.0
8562,42.0
8563,46.0
8564,52.0
8565,32.0
8566,42.0
8567,32.0
8568,35.0
8569,26.0
8570,27.0
8571,28.0
8572,19.0
8573,24.0
8574,23.0
8575,21.0
8576,27.0
8577,34.0
8578,34.0
8579,25.0
8580,20.0
8581,20.0
8582,26.0
8583,23.0
8584,51.0
8585,71.0
8586,71.0
8587,76.0
8588,103.0
8589,116.0
8590,111.0
8591,135.0
8592,97.0
8593,35.0
8594,17.0
8595,18.0
8596,18.0
8597,17.0
8598,19.0
8599,19.0
8600,21.0
8601,25.0
8602,35.0
8603,22.0
8604,19.0
8605,26.0
8606,21.0
8607,20.0
8608,89.0
8609,93.0
8610,104.0
8611,121.0
8612,117.0
8613,111.0
8614,135.0
8615,163.0
8616,128.0
8617,41.0
8618,26.0
8619,20.0
